City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
491,Lorengau,PG,83.93,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
495,Goshogawara,JP,80.92,clear sky,40.8044,140.4414,Hotel Sunroute Patio Goshogawara
498,Sawakin,SD,90.0,clear sky,19.1059,37.3321,فندق الدويم
503,Progreso,MX,71.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
505,Sao Gabriel Da Cachoeira,BR,72.34,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
506,Nea Artaki,GR,82.92,few clouds,38.5167,23.6333,Ivan apartments
507,Saint-Andre,RE,76.44,broken clouds,-20.95,55.65,Domaine des Oiseaux Réunion
508,Shingu,JP,78.93,clear sky,33.7333,135.9833,Shingu UI Hotel
510,Gazanjyk,TM,76.59,few clouds,39.2446,55.5154,Railway motel
511,Pandan,PH,84.24,overcast clouds,14.0453,124.1694,Bonifacio Lodge
517,La Palma,US,70.07,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
518,Kailua,US,80.02,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
519,Selma,US,72.99,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
520,Luwuk,ID,88.39,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
525,Axim,GH,74.7,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
527,Loa Janan,ID,87.31,overcast clouds,-0.583,117.095,Kost bu jono
528,San Andres,CO,81.68,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
533,Porterville,US,76.75,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
534,Weligama,LK,82.04,overcast clouds,5.9667,80.4167,Weligama Bay Resort
539,Cruces,CU,70.92,broken clouds,22.3411,-80.2667,"Hostal ""Las Palmas"""
542,Paka,MY,85.5,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
549,Trairi,BR,77.63,overcast clouds,-3.2778,-39.2689,janelas do mar
551,Misratah,LY,83.97,scattered clouds,32.3754,15.0925,Almasa Hotel
556,Kuching,MY,89.82,scattered clouds,1.55,110.3333,Hilton Kuching
557,Yeppoon,AU,78.58,overcast clouds,-23.1333,150.7333,Villa Mar Colina
565,Ambulu,ID,83.21,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
566,Sarakhs,IR,77.29,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
567,Krabi,TH,80.6,overcast clouds,8.0726,98.9105,Tharapark View Hotel
570,Linao,PH,86.58,light rain,7.1678,124.9675,Mujeres Plantation and Residency
571,Manga,BF,72.63,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
574,Gushikawa,JP,87.03,overcast clouds,26.3544,127.8686,Kirari Guest House
578,Amboasary,MG,82.04,clear sky,-25.0333,46.3833,Le Bon Samaritain
580,Porto Santo,PT,70.18,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
